version,test_name,category,passed,latency_ms,total_tokens,cost_usd,confidence_score
v1.4,COMPARECER || AUDIENCIA - Conciliação JESP Virtual,Testes de Ação Recomendada,0,3658,4313,0.0021565,8
v1.4,COMPARECER || AUDIENCIA - AGC Recuperação Judicial,Testes de Ação Recomendada,0,7685,6871,0.0034355,8
v1.4,COMPARECER || AUDIENCIA - Conciliação CEJUSC Trabalhista,Testes de Ação Recomendada,0,3447,4069,0.0020345,8
v1.4,COMPARECER || PERICIA,Testes de Ação Recomendada,0,3895,3743,0.0018715,10
v1.4,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,5110,3997,0.0019985,8
v1.4,COMPARECER || PAUTA_DE_JULGAMENTO - Presencial em Plenário,Testes de Ação Recomendada,0,3320,3864,0.001932,8
v1.4,COMPARECER || PAUTA_DE_JULGAMENTO - Videoconferência com Sustentação Oral,Testes de Ação Recomendada,0,4805,4016,0.0020080000000000002,9
v1.4,COMPARECER || PAUTA DE JULGAMENTO - Virtual RITJMG com Memoriais,Testes de Ação Recomendada,0,3361,4070,0.0020350000000000004,8
v1.4,MANIFESTAR-SE + COMPARECER || PRAZO NO TEXTO - Impugnação de Cálculos de Liquidação || AUDIÊNCIA - 16/06/2025 às 10:15,Testes de Ação Recomendada,0,2727,4379,0.0021895,8
v1.4,MANIFESTAR-SE || PRAZO NO TEXTO - Tentativa de Acordo em Cumprimento de Sentença,Testes de Ação Recomendada,0,2469,3811,0.0019055,10
v1.4,MANIFESTAR-SE || PRAZO NO TEXTO - Devolução de Autos com Penalidade,Testes de Ação Recomendada,0,3346,3800,0.0019,8
v1.4,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - Nenhuma menção a audiência,Testes de Ação Recomendada,0,1939,3560,0.0017800000000000001,5
v1.4,TOMAR_CIENCIA || AUDIENCIA [FALSO_POSITIVO] - marcou a audiencia; mas o texto fez referencia a 'aguarde-se audiencia já designada'. Na pratica = o advogado ja recebeu a notificação da data da audiencia; e vai esperar,Testes de Ação Recomendada,0,2652,3784,0.001892,8
